02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:110 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:109 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:108 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:107 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:107 already exists
02/24/2015 12:40:13 PM WARNING: Entity.entity_add(): Entity was not added, id urn:x-iot:smartsantander:vehicle:107 already exists
